Gm#,Date,Boxscore,Tm,Location,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,PA,AB,R.1,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Season,IP,Pit,Str,StL,StS,Pitchers Used (Rest-GameScore-Dec)
13,2022-04-22,boxscore,HOU,,TOR,L,3,4,,45084,4,1.5,Mayza,Neris,Romano,0.1201388889,N,36757.0,1.01,---,,36,34,3,7,1,0,0,3,0,0,2,10,0.2,0.279,0.346,0.625,8,0,0,0,0,0,0,0.292,6,12,Ross Stripling,R,41,2022,9.0,133,99,23,8,"J.Verlander (5-56), P.Maton (1), R.Montero (1), H.Neris (3-L)"
14,2022-04-23,boxscore,HOU,,TOR,L,2,3,,45085,4,2.5,Manoah,Taylor,Cimber,0.1208333333,D,36075.0,0.96,----,,35,34,2,8,0,0,1,2,0,0,1,10,0.203,0.278,0.344,0.622,11,0,0,0,0,0,0,0.304,6,10,Alek Manoah,R,55,2022,9.0,131,100,19,16,"J.Urquidy (5-51), P.Maton (0), B.Taylor (2-L), R.Stanek (2), H.Neris (0)"
15,2022-04-24,boxscore,HOU,,TOR,W-wo,8,7,10.0,45115,4,2.5,Taylor,Romano,,0.15625,D,39534.0,0.93,+,,44,38,8,11,5,0,2,7,0,0,5,10,0.209,0.285,0.362,0.647,22,1,0,1,0,1,0,0.346,9,10,Yusei Kikuchi,L,42,2022,10.0,138,94,21,17,"L.Garcia (5-47), P.Mushinski (4), R.Blanco (4), R.Montero (1), B.Abreu (4), 
B.Taylor (0-W)"
16,2022-04-25,boxscore,HOU,@,TEX,L,2,6,,45116,4,3,Moore,Maton,,0.1347222222,N,17420.0,0.96,-,,38,35,2,8,1,0,1,2,2,0,3,9,0.211,0.285,0.361,0.646,12,0,0,0,0,0,0,0.28,9,9,Dane Dunning,R,55,2022,8.0,149,92,17,19,"F.Valdez (5-65), P.Maton (1-BL), R.Stanek (1), P.Mushinski (0), R.Blanco (0)"
17,2022-04-26,boxscore,HOU,@,TEX,W,5,1,,45147,4,3,Odorizzi,Hearn,,0.1263888889,N,16469.0,0.92,+,,36,32,5,6,1,0,1,5,0,2,4,8,0.209,0.285,0.358,0.643,10,0,0,0,0,0,0,0.217,4,9,Taylor Hearn,L,44,2022,9.0,128,83,23,18,"J.Odorizzi (5-69-W), B.Taylor (1), R.Montero (1-H), H.Neris (2)"
18,2022-04-27,boxscore,HOU,@,TEX,W,4,3,,45178,4,2.5,Javier,Martin,Stanek,0.1368055556,N,20399.0,0.93,++,,38,34,4,7,1,0,1,4,0,0,4,10,0.209,0.285,0.356,0.641,11,1,0,0,0,1,0,0.261,7,10,Glenn Otto,R,50,2022,9.0,164,98,14,17,"C.Javier (6-53-W), B.Abreu (2-H), P.Maton (1-H), H.Neris (0-H), R.Stanek 
(1-S)"
19,2022-04-28,boxscore,HOU,@,TEX,W,3,2,,45208,3,2.5,Verlander,Bush,Montero,0.1090277778,D,19484.0,1.0,+++,,32,30,3,3,1,0,1,3,0,0,1,6,0.204,0.279,0.35,0.63,7,0,1,0,0,0,0,0.087,2,10,Martín Pérez,L,73,2022,9.0,117,80,20,15,"J.Verlander (5-73-W), B.Taylor (1-H), R.Montero (1-S)"
20,2022-04-29,boxscore,HOU,@,TOR,W,11,7,,45239,2,2.5,Urquidy,Thornton,,0.1541666667,N,35066.0,1.04,++++,,48,38,11,14,5,0,3,11,0,0,8,11,0.213,0.291,0.372,0.663,28,1,0,0,2,0,0,0.423,10,9,Yusei Kikuchi,L,35,2022,9.0,165,106,29,26,"J.Urquidy (5-42-W), B.Abreu (1), P.Maton (1), R.Stanek (1), H.Neris (1)"
21,2022-04-30,boxscore,HOU,@,TOR,L,1,2,,45240,2,2.5,Berríos,Garcia,Romano,0.1131944444,D,40732.0,1.11,-,,39,36,1,8,1,0,1,1,0,0,3,8,0.214,0.29,0.37,0.661,12,0,0,0,0,1,0,0.259,11,11,José Berríos,R,54,2022,8.0,106,70,15,14,"L.Garcia (5-58-L), S.Martinez (99), R.Stanek (0)"
22,2022-05-01,boxscore,HOU,@,TOR,L,2,3,,45241,3,3.5,Gausman,Valdez,Romano,0.1194444444,D,31802.0,1.07,--,,35,35,2,8,2,1,0,2,2,0,0,12,0.214,0.288,0.369,0.657,12,0,0,0,0,1,0,0.348,6,10,Kevin Gausman,R,67,2022,8.0,118,74,15,10,"F.Valdez (5-57-L), P.Maton (1), H.Neris (1)"
23,2022-05-02,boxscore,HOU,,SEA,W,3,0,,45271,2,2.5,Odorizzi,Gonzales,Montero,0.1166666667,N,27321.0,1.09,+,,34,32,3,8,3,0,2,3,0,0,2,4,0.216,0.288,0.376,0.664,17,0,0,0,0,0,0,0.231,7,9,Marco Gonzales,L,44,2022,9.0,130,79,18,12,"J.Odorizzi (5-68-W), R.Stanek (1-H), H.Neris (0-H), R.Montero (3-S)"
24,2022-05-03,boxscore,HOU,,SEA,W,4,0,,13-11,2,1.5,Javier,Flexen,,0.1333333333,N,23796.0,1.14,++,,34,28,4,5,0,0,2,4,1,0,6,4,0.215,0.289,0.376,0.666,11,0,0,0,0,0,0,0.136,6,9,Chris Flexen,R,58,2022,9.0,151,91,11,15,"C.Javier (5-66-W), B.Taylor (4-H), P.Maton (1), B.Abreu (3)"
25,2022-05-04,boxscore,HOU,,SEA,W,7,2,,14-11,2,1.5,Verlander,Brash,,0.1256944444,D,24110.0,1.19,+++,,37,31,7,10,3,0,0,7,0,0,5,9,0.219,0.294,0.378,0.672,13,1,0,0,1,0,0,0.435,6,10,Matt Brash,R,30,2022,9.0,128,91,21,16,"J.Verlander (5-59-W), R.Stanek (1), P.Mushinski (8)"
26,2022-05-05,boxscore,HOU,,DET,W-wo,3,2,,15-11,2,1.5,Pressly,Soto,,0.1215277778,N,24116.0,1.11,++++,,33,31,3,8,1,0,2,3,0,1,2,11,0.22,0.294,0.382,0.676,15,0,0,0,0,0,0,0.333,6,10,Tarik Skubal,L,61,2022,9.0,140,91,20,10,"J.Urquidy (5-62), H.Neris (2-H), R.Montero (2-H), R.Pressly (21-BW)"
27,2022-05-06,boxscore,HOU,,DET,W,3,2,,16-11,2,1.5,Garcia,Brieske,Montero,0.1291666667,N,38020.0,1.12,+++++,,36,31,3,7,1,0,2,3,1,0,5,3,0.22,0.296,0.384,0.68,14,0,0,0,0,0,0,0.192,9,9,Beau Brieske,R,45,2022,9.0,120,77,17,19,"L.Garcia (5-74-W), P.Maton (2-H), R.Montero (0-S)"
28,2022-05-07,boxscore,HOU,,DET,W,3,2,,17-11,2,0.5,Abreu,Fulmer,Pressly,0.1256944444,D,34109.0,1.13,++++++,,34,28,3,4,0,1,1,3,0,0,6,9,0.218,0.296,0.382,0.678,9,0,0,0,0,0,1,0.167,7,11,Eduardo Rodríguez,L,73,2022,9.0,135,96,19,19,"F.Valdez (5-52), R.Stanek (2), B.Abreu (3-W), R.Pressly (1-S)"
29,2022-05-08,boxscore,HOU,,DET,W,5,0,,18-11,2,0.5,Odorizzi,Hutchison,,0.1138888889,D,36934.0,1.15,+++++++,,34,28,5,5,0,0,2,5,0,0,6,12,0.217,0.297,0.383,0.679,11,1,0,0,0,0,0,0.214,5,10,Wily Peralta,R,54,2022,9.0,127,78,17,19,"J.Odorizzi (5-68-W), C.Javier (4), H.Neris (2)"
30,2022-05-10,boxscore,HOU,@,MIN,W,5,0,,19-11,2,1,Verlander,Ryan,,0.1319444444,N,16156.0,1.25,++++++++,,45,33,5,7,1,0,0,5,2,0,9,7,0.217,0.3,0.378,0.678,8,0,1,0,2,0,0,0.25,13,10,Joe Ryan,R,36,2022,9.0,110,74,19,6,"J.Verlander (5-83-W), B.Taylor (6)"
31,2022-05-11,boxscore,HOU,@,MIN,W,11,3,,20-11,1,Tied,Abreu,Archer,,0.1479166667,N,,1.28,+++++++++,,45,41,11,15,4,0,2,11,0,0,3,6,0.223,0.304,0.387,0.691,25,0,0,0,1,0,0,0.382,7,9,Chris Archer,R,30,2022,9.0,163,102,24,17,"J.Urquidy (5-52), B.Abreu (3-W), P.Maton (4), R.Stanek (3), H.Neris (2)"
32,2022-05-12,boxscore,HOU,@,MIN,W,5,0,,21-11,1,up 0.5,Garcia,Winder,,0.1388888889,D,16918.0,1.29,++++++++++,,41,35,5,9,3,0,2,4,2,0,6,9,0.224,0.306,0.391,0.697,18,1,0,0,0,0,0,0.292,9,10,Josh Winder,R,33,2022,9.0,143,96,24,21,"L.Garcia (5-64-W), S.Martinez (11), B.Taylor (1), R.Montero (5)"
33,2022-05-13,boxscore,HOU,@,WSN,W,6,1,,22-11,1,up 0.5,Valdez,Gray,,0.1145833333,N,18433.0,1.14,+++++++++++,,36,33,6,7,2,0,3,6,0,0,2,6,0.223,0.305,0.396,0.701,18,1,1,0,0,0,0,0.167,3,10,Josiah Gray,R,39,2022,9.0,120,81,30,10,"F.Valdez (5-65-W), R.Montero (0), R.Pressly (5)"
34,2022-05-14,boxscore,HOU,@,WSN,L,6,13,,22-12,1,Tied,Rogers,Javier,,0.14375,N,22949.0,1.17,-,,43,38,6,12,3,1,1,6,1,0,4,12,0.226,0.308,0.401,0.709,20,2,1,0,0,1,0,0.44,10,11,Erick Fedde,R,43,2022,8.0,172,103,15,23,"C.Javier (5-19-L), P.Maton (2), B.Taylor (1), R.Stanek (2), H.Neris (2)"
35,2022-05-15,boxscore,HOU,@,WSN,W,8,0,,23-12,1,Tied,Verlander,Corbin,,0.1298611111,D,25915.0,1.17,+,,40,37,8,11,0,0,4,7,1,0,3,7,0.229,0.309,0.408,0.717,23,1,0,0,0,0,0,0.269,5,10,Patrick Corbin,L,43,2022,9.0,161,97,16,19,"J.Verlander (4-65-W), R.Montero (1-H), R.Stanek (0), B.Abreu (3)"
36,2022-05-16,boxscore,HOU,@,BOS,L,3,6,,23-13,1,Tied,Strahm,Neris,Robles,0.1298611111,N,29706.0,1.2,-,,38,31,3,7,3,0,1,3,0,0,3,7,0.229,0.31,0.408,0.718,13,1,2,1,1,0,0,0.25,8,9,Garrett Whitlock,R,54,2022,8.0,121,75,18,12,"J.Odorizzi (7-58), P.Maton (1), H.Neris (1-L)"
37,2022-05-17,boxscore,HOU,@,BOS,W,13,4,,24-13,1,up 1.0,Urquidy,Eovaldi,,0.1333333333,N,27328.0,1.21,+,,45,43,13,15,2,0,6,13,0,0,1,8,0.233,0.312,0.422,0.734,35,1,1,0,0,1,0,0.31,5,11,Nathan Eovaldi,R,9,2022,9.0,166,113,21,15,"J.Urquidy (5-28-W), S.Martinez (4), B.Taylor (2)"
38,2022-05-18,boxscore,HOU,@,BOS,L,1,5,,24-14,1,up 1.0,Pivetta,Garcia,,0.1097222222,N,31717.0,1.23,-,,29,29,1,2,1,0,1,1,0,0,0,8,0.229,0.307,0.417,0.724,6,0,0,0,0,0,0,0.05,1,10,Nick Pivetta,R,87,2022,8.0,128,82,21,13,"L.Garcia (5-37-L), B.Abreu (2), R.Stanek (2), R.Montero (2)"
39,2022-05-19,boxscore,HOU,,TEX,W,5,1,,25-14,1,up 1.5,Valdez,Otto,,0.1319444444,N,34593.0,1.34,+,,38,31,5,10,3,0,0,5,3,0,6,6,0.231,0.311,0.417,0.728,13,0,1,0,0,0,0,0.4,9,9,Glenn Otto,R,49,2022,9.0,125,94,22,25,"F.Valdez (5-66-W), H.Neris (2-H), R.Pressly (5)"
40,2022-05-20,boxscore,HOU,,TEX,L,0,3,,25-15,1,up 1.5,Pérez,Javier,,0.1229166667,N,35294.0,1.27,-,,32,30,0,8,0,0,0,0,0,0,1,5,0.232,0.31,0.414,0.724,8,3,0,1,0,0,0,0.32,5,11,Martín Pérez,L,75,2022,9.0,136,80,17,21,"C.Javier (5-70-L), R.Stanek (1), R.Montero (1), B.Taylor (2), P.Maton (3)"
41,2022-05-21,boxscore,HOU,,TEX,W,2,1,,26-15,1,up 1.5,Verlander,Gray,Pressly,0.1194444444,N,37187.0,1.3,+,,31,29,2,6,1,1,0,1,2,0,2,5,0.232,0.309,0.412,0.721,9,1,0,0,0,0,0,0.25,5,9,Jon Gray,R,54,2022,9.0,138,96,23,20,"J.Verlander (5-68-W), P.Maton (0-H), H.Neris (1-H), R.Pressly (1-S)"
42,2022-05-22,boxscore,HOU,,TEX,W,5,2,,27-15,1,up 1.5,Urquidy,Hearn,Pressly,0.1319444444,D,38745.0,1.28,++,,36,31,5,8,4,0,1,5,0,0,5,5,0.232,0.31,0.413,0.724,15,0,0,0,0,0,0,0.28,7,9,Taylor Hearn,L,36,2022,9.0,133,90,20,27,"J.Urquidy (4-67-W), R.Montero (1-H), R.Stanek (1-H), B.Taylor (1), R.Pressly 
(0-S)"
43,2022-05-23,boxscore,HOU,,CLE,L,1,6,,27-16,1,up 1.0,McKenzie,Garcia,,0.1263888889,N,28284.0,1.23,-,,32,30,1,4,1,0,1,1,0,0,2,4,0.23,0.308,0.41,0.718,8,1,0,0,0,0,0,0.12,4,9,Triston McKenzie,R,69,2022,9.0,154,101,20,16,"L.Garcia (4-47-L), B.Abreu (4), S.Martinez (5), P.Maton (1)"
44,2022-05-24,boxscore,HOU,,CLE,W,7,3,,28-16,1,up 1.0,Valdez,Plesac,,0.1145833333,N,26621.0,1.28,+,,35,33,7,9,2,0,1,7,0,0,1,9,0.231,0.308,0.41,0.718,14,0,1,0,0,0,0,0.348,4,9,Zach Plesac,R,22,2022,9.0,134,92,22,7,"F.Valdez (4-55-W), H.Neris (2), R.Montero (1)"
45,2022-05-25,boxscore,HOU,,CLE,W,2,1,,29-16,1,up 2.0,Javier,Quantrill,Pressly,0.125,N,25412.0,1.23,++,,33,27,2,7,1,0,0,2,1,0,4,7,0.232,0.309,0.408,0.717,8,1,0,0,2,0,0,0.318,7,9,Cal Quantrill,R,51,2022,9.0,152,93,21,21,"C.Javier (4-71-W), R.Stanek (2-H), B.Taylor (2-H), H.Neris (0-H), R.Montero 
(0-H), R.Pressly (2-S)"
46,2022-05-27,boxscore,HOU,@,SEA,L,1,6,,29-17,1,up 2.5,Flexen,Verlander,,0.1145833333,N,26017.0,1.22,-,,37,35,1,9,1,0,0,1,1,0,2,8,0.232,0.308,0.405,0.714,10,1,0,0,0,0,0,0.333,9,10,Chris Flexen,R,63,2022,8.0,119,83,10,14,"J.Verlander (5-33-L), S.Martinez (3)"
47,2022-05-28,boxscore,HOU,@,SEA,L,0,6,,29-18,1,up 2.5,Gilbert,Urquidy,,0.1256944444,N,24007.0,1.26,--,,34,32,0,5,1,0,0,0,0,0,1,6,0.231,0.306,0.401,0.707,6,0,1,0,0,0,0,0.192,7,11,Logan Gilbert,R,74,2022,8.0,152,94,13,20,"J.Urquidy (5-20-L), B.Abreu (4), P.Maton (4), B.Taylor (2)"
48,2022-05-29,boxscore,HOU,@,SEA,W,2,1,,30-18,1,up 3.5,Montero,Gonzales,Pressly,0.125,D,28986.0,1.33,+,,35,32,2,6,1,0,1,2,1,0,3,3,0.23,0.305,0.399,0.704,10,1,0,0,0,0,1,0.179,6,11,Marco Gonzales,L,61,2022,9.0,128,80,19,19,"L.Garcia (5-65), R.Montero (3-W), H.Neris (3-H), R.Pressly (3-S)"
49,2022-05-30,boxscore,HOU,@,OAK,W,5,1,,31-18,1,up 4.0,Valdez,Blackburn,,0.1236111111,D,8753.0,1.25,++,,38,34,5,6,0,1,3,5,1,0,2,7,0.229,0.304,0.401,0.706,17,0,2,0,0,1,0,0.125,6,10,Paul Blackburn,R,53,2022,9.0,114,75,18,13,F.Valdez (5-83-W)
50,2022-05-31,boxscore,HOU,@,OAK,W,3,1,,32-18,1,up 5.0,Montero,Montas,Pressly,0.1409722222,N,3469.0,1.21,+++,,36,32,3,7,0,0,1,3,0,0,4,9,0.228,0.305,0.4,0.704,10,2,0,0,0,0,0,0.273,6,9,Frankie Montas,R,60,2022,9.0,154,91,17,16,"C.Javier (5-50), P.Maton (2), R.Stanek (5), R.Montero (1-W), H.Neris (1-H), 
R.Pressly (1-S)"
51,2022-06-01,boxscore,HOU,@,OAK,W,5,4,,33-18,1,up 5.5,Abreu,Jiménez,Pressly,0.1298611111,D,5189.0,1.16,++++,,42,36,5,11,2,0,0,5,0,1,5,3,0.23,0.307,0.399,0.705,13,1,1,0,0,0,0,0.333,10,11,Cole Irvin,L,53,2022,9.0,123,79,19,16,"J.Verlander (4-65), B.Abreu (3-W), R.Pressly (0-S)"
52,2022-06-03,boxscore,HOU,@,KCR,W,10,3,,34-18,1,up 7.5,Urquidy,Singer,,0.1166666667,N,22516.0,1.08,+++++,,42,38,10,14,2,0,3,10,0,0,3,7,0.233,0.309,0.404,0.714,25,2,1,0,0,0,0,0.393,5,10,Brady Singer,R,27,2022,9.0,136,92,16,14,"J.Urquidy (5-55-W), B.Taylor (5), P.Maton (2), S.Martinez (6)"
53,2022-06-04,boxscore,HOU,@,KCR,L,0,6,,34-19,1,up 7.5,Snider,Garcia,,0.1319444444,D,14686.0,1.04,-,,37,32,0,5,1,0,0,0,1,0,5,5,0.232,0.309,0.4,0.709,6,1,0,0,0,1,0,0.185,10,10,Kris Bubic,L,57,2022,8.0,130,82,14,15,"L.Garcia (5-62-L), R.Montero (3), B.Abreu (2)"
54,2022-06-05,boxscore,HOU,@,KCR,W,7,4,,35-19,1,up 8.5,Valdez,Heasley,Montero,0.1458333333,D,12776.0,1.06,+,,45,37,7,12,2,1,2,6,0,0,5,9,0.234,0.311,0.404,0.716,22,1,2,0,1,0,0,0.37,11,10,Jonathan Heasley,R,49,2022,9.0,155,88,23,16,"F.Valdez (5-58-W), R.Stanek (4-H), H.Neris (4-H), R.Pressly (3), P.Maton 
(1), R.Montero (0-S)"
55,2022-06-06,boxscore,HOU,,SEA,L,4,7,,35-20,1,up 8.5,Ray,Javier,Castillo,0.1569444444,N,27521.0,1.13,-,,40,35,4,10,1,0,3,4,2,0,5,7,0.235,0.312,0.408,0.72,20,1,0,0,0,1,0,0.28,9,10,Robbie Ray,L,37,2022,9.0,181,105,25,17,"C.Javier (5-32-L), S.Martinez (2), P.Mushinski (32), R.Stanek (0), P.Maton 
(0), H.Neris (0), B.Abreu (1)"
56,2022-06-07,boxscore,HOU,,SEA,W,4,1,,36-20,1,up 9.5,Verlander,Flexen,Pressly,0.1381944444,N,30583.0,1.23,+,,35,30,4,7,0,0,1,4,1,0,5,3,0.235,0.313,0.406,0.719,10,0,0,0,0,0,0,0.231,7,9,Chris Flexen,R,55,2022,9.0,144,94,26,18,"J.Verlander (5-71-W), R.Montero (1-H), R.Pressly (1-S)"
57,2022-06-08,boxscore,HOU,,SEA,L,3,6,,36-21,1,up 9.5,Gilbert,Urquidy,Castillo,0.13125,N,23752.0,1.14,-,,36,33,3,8,3,0,0,3,0,0,3,7,0.235,0.313,0.405,0.718,11,0,0,0,0,0,0,0.308,6,11,Logan Gilbert,R,46,2022,9.0,164,100,23,11,"J.Urquidy (4-30-L), B.Bielak (99), S.Martinez (1)"
58,2022-06-10,boxscore,HOU,,MIA,L,4,7,,36-22,1,up 9.0,Sulser,Garcia,Scott,0.1590277778,N,34163.0,1.09,--,,42,37,4,11,2,0,2,4,1,0,5,10,0.236,0.314,0.407,0.721,19,0,0,0,0,0,0,0.36,11,9,Pablo López,R,46,2022,9.0,157,99,26,28,"L.Garcia (5-38-L), P.Maton (3), B.Abreu (3), H.Neris (3)"
59,2022-06-11,boxscore,HOU,,MIA,L,1,5,,36-23,1,up 8.0,Garrett,Valdez,,0.1333333333,D,31379.0,1.13,---,,37,35,1,8,5,0,0,1,1,0,2,9,0.236,0.313,0.407,0.72,13,0,0,0,0,1,0,0.308,9,9,Braxton Garrett,L,59,2022,9.0,142,95,34,15,"F.Valdez (5-55-L), R.Stanek (4), R.Montero (3)"
60,2022-06-12,boxscore,HOU,,MIA,W,9,4,,37-23,1,up 8.5,Verlander,Cabrera,,0.1395833333,D,29341.0,1.17,+,,41,35,9,14,4,0,2,9,1,1,4,6,0.239,0.316,0.412,0.728,24,0,1,0,1,0,0,0.429,8,10,Edward Cabrera,R,26,2022,9.0,113,82,23,12,"J.Verlander (4-67-W), H.Neris (1-H), R.Pressly (4)"
61,2022-06-13,boxscore,HOU,@,TEX,L,3,5,,37-24,1,up 7.5,Burke,Neris,Moore,0.1375,N,29805.0,1.3,-,,36,33,3,7,2,0,0,3,1,0,3,5,0.238,0.316,0.409,0.725,9,0,0,0,0,0,0,0.25,6,10,Taylor Hearn,L,42,2022,8.0,143,88,17,21,"C.Javier (6-58), R.Stanek (1-H), H.Neris (0-BL), P.Maton (2)"
62,2022-06-14,boxscore,HOU,@,TEX,W,4,3,,38-24,1,up 8.5,Abreu,King,Pressly,0.1111111111,N,29370.0,1.35,+,,37,32,4,5,2,0,1,3,0,0,4,8,0.237,0.315,0.408,0.723,10,1,1,0,0,0,0,0.174,6,10,Dane Dunning,R,68,2022,9.0,117,73,17,18,"J.Urquidy (5-54), B.Abreu (3-W), R.Montero (2-H), R.Pressly (1-S)"
63,2022-06-15,boxscore,HOU,@,TEX,W,9,2,,39-24,1,up 9.5,Garcia,Miller,,0.1145833333,D,24992.0,1.24,++,,39,35,9,9,2,0,2,9,0,0,3,5,0.237,0.315,0.409,0.724,17,1,1,0,0,0,0,0.25,3,12,Tyson Miller,R,18,2022,9.0,135,97,21,22,"L.Garcia (4-63-W), P.Maton (1), S.Martinez (6), B.Bielak (6)"
64,2022-06-17,boxscore,HOU,,CHW,W,13,3,,40-24,1,up 9.0,Valdez,Giolito,,0.1215277778,N,35467.0,1.17,+++,,40,35,13,12,1,0,5,12,0,0,4,7,0.239,0.317,0.416,0.733,28,1,1,0,0,0,0,0.304,3,12,Lucas Giolito,R,21,2022,9.0,123,92,25,21,"F.Valdez (5-51-W), R.Stanek (3), S.Martinez (1), B.Abreu (2)"
